,Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
323,267,Zach LaVine,SG,28,CHI,25,872,15.1,.578,.449,.274,1.0,16.0,8.3,17.1,1.2,0.9,11.0,23.9,0.7,0.8,1.5,.084,0.6,-0.6,0.0,0.4
324,268,A.J. Lawson,SG,23,DAL,25,225,12.6,.564,.482,.229,5.3,9.4,7.3,8.0,1.9,1.2,9.9,19.2,0.1,0.2,0.3,.060,-2.0,-1.2,-3.2,-0.1
325,269,Saben Lee,PG,24,PHO,12,76,14.9,.526,.227,.773,8.0,10.0,9.1,20.6,1.9,3.5,14.5,19.7,0.1,0.1,0.2,.101,-1.1,0.3,-0.8,0.0
326,270,Alex Len,C,30,SAC,20,170,15.9,.613,.086,.429,16.3,23.1,19.6,16.7,1.4,4.3,23.8,13.7,0.3,0.2,0.5,.134,-1.9,1.7,-0.2,0.1
327,271,Kawhi Leonard,SF,32,LAC,47,1617,23.9,.638,.304,.250,3.9,16.1,10.2,17.2,2.4,2.3,7.8,26.1,4.8,2.3,7.1,.210,5.4,1.2,6.5,3.5
328,272,Caris LeVert,SG,29,CLE,41,1130,14.8,.532,.411,.239,2.0,12.0,7.1,22.3,1.8,1.3,9.8,24.1,0.7,1.7,2.4,.103,-0.4,0.7,0.4,0.7
329,273,Kira Lewis Jr.,PG,22,TOT,16,146,5.5,.387,.385,.212,3.1,7.6,5.3,15.8,1.7,0.7,12.3,19.1,-0.3,0.1,-0.1,-0.045,-6.6,-0.9,-7.5,-0.2
330,273,Kira Lewis Jr.,PG,22,NOP,15,144,5.7,.387,.385,.212,3.1,7.7,5.4,16.0,1.7,0.7,12.3,19.4,-0.3,0.1,-0.1,-0.046,-6.4,-0.9,-7.3,-0.2
331,273,Kira Lewis Jr.,PG,22,TOR,1,2,-7.3,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,-0.004,-22.1,0.0,-22.1,0.0
332,274,Maxwell Lewis,SF,21,LAL,18,67,-1.8,.292,.250,.000,1.7,3.2,2.5,5.3,1.4,0.0,29.4,10.9,-0.2,0.0,-0.2,-0.132,-9.1,-2.4,-11.5,-0.2
333,275,E.J. Liddell,PF,23,NOP,8,23,4.2,.291,.833,.333,0.0,24.1,12.1,5.1,4.2,8.5,22.5,16.6,-0.1,0.1,0.0,-0.090,-8.6,4.1,-4.6,0.0
334,276,Damian Lillard,PG,33,MIL,48,1692,20.2,.599,.489,.444,1.7,11.0,6.5,27.3,1.5,0.5,10.7,28.1,4.2,1.2,5.4,.153,3.6,-1.3,2.3,1.9
335,277,Nassir Little,SF,23,PHO,30,399,10.4,.594,.566,.202,4.3,13.9,9.4,6.2,1.2,2.0,10.0,13.0,0.3,0.4,0.7,.086,-2.1,-0.3,-2.5,-0.1
336,278,Dereck Lively II,C,19,DAL,36,935,17.1,.726,.010,.281,12.1,21.4,16.7,6.9,1.2,4.7,15.6,12.3,2.1,1.1,3.2,.165,-0.7,0.3,-0.5,0.4
337,279,Isaiah Livers,PF,25,DET,23,469,5.1,.460,.664,.155,3.5,8.1,5.8,6.7,1.3,0.9,11.4,12.6,-0.3,0.1,-0.2,-0.020,-5.0,-1.5,-6.5,-0.5
338,280,Chris Livingston,SF,20,MIL,14,60,8.7,.571,.071,.143,3.8,19.5,11.9,8.3,1.6,0.0,16.8,12.7,0.0,0.1,0.1,.052,-4.8,-0.8,-5.7,-0.1
340,281,Kenneth Lofton Jr.,PF,21,TOT,17,108,6.0,.413,.279,.349,2.0,16.9,9.2,19.5,1.3,2.6,13.9,22.9,-0.3,0.1,-0.2,-0.070,-6.9,0.0,-6.9,-0.1
341,281,Kenneth Lofton Jr.,PF,21,MEM,15,99,8.3,.447,.270,.405,2.1,15.1,8.3,21.3,1.5,2.8,12.1,21.5,-0.1,0.1,0.0,-0.013,-5.5,0.9,-4.6,-0.1
342,281,Kenneth Lofton Jr.,PF,21,PHI,2,9,-19.6,.167,.333,.000,0.0,37.0,18.4,0.0,0.0,0.0,25.0,37.8,-0.1,0.0,-0.1,-0.692,-23.3,-9.3,-32.7,-0.1
343,282,Kevon Looney,C,27,GSW,50,924,15.5,.638,.006,.343,13.9,24.6,19.3,15.1,1.2,1.7,16.2,10.9,2.1,1.1,3.2,.165,-0.3,1.3,1.0,0.7
344,283,Brook Lopez,C,35,MIL,50,1583,15.3,.605,.500,.176,5.6,13.2,9.5,6.8,0.9,7.1,7.8,15.9,2.1,1.9,4.0,.121,0.3,1.0,1.3,1.3
345,284,Robin Lopez,C,35,MIL,16,65,6.5,.453,.421,.105,5.2,3.3,4.2,7.6,0.7,3.8,9.1,14.3,0.0,0.0,0.0,.004,-4.7,-1.4,-6.0,-0.1
346,285,Kevin Love,PF,35,MIA,42,741,18.0,.593,.697,.343,6.7,33.6,19.9,19.7,0.9,0.9,9.7,20.8,1.4,1.1,2.5,.165,2.6,0.9,3.5,1.0
347,286,Kyle Lowry,PG,37,MIA,37,1037,10.8,.582,.665,.174,2.7,11.5,7.0,19.6,1.9,1.4,16.9,13.4,0.7,1.3,2.0,.091,-2.1,1.1,-1.0,0.3
348,287,Seth Lundy,SF,23,ATL,9,52,0.1,.373,.765,.235,2.0,12.9,7.3,0.0,0.0,0.0,5.1,15.6,-0.1,0.0,-0.1,-0.093,-7.8,-5.0,-12.8,-0.1
349,288,Trey Lyles,PF,28,SAC,38,770,12.5,.630,.735,.223,5.2,20.4,12.6,7.9,0.7,1.3,9.4,14.1,1.0,0.6,1.7,.105,0.2,-0.7,-0.5,0.3
350,289,Théo Maledon,PG,22,TOT,14,201,3.7,.374,.448,.179,2.1,11.2,6.4,18.6,1.7,0.0,17.2,18.9,-0.5,0.0,-0.5,-0.118,-8.0,-2.0,-10.0,-0.4
351,289,Théo Maledon,PG,22,CHO,13,200,3.9,.379,.455,.182,2.1,11.2,6.4,18.7,1.7,0.0,17.4,18.7,-0.5,0.0,-0.5,-0.114,-7.9,-2.0,-9.8,-0.4
352,289,Théo Maledon,PG,22,PHO,1,1,-37.4,.000,.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.4,0.0,0.0,0.0,-1.022,-32.4,-17.4,-49.8,0.0
353,290,Sandro Mamukelashvili,C,24,SAS,28,184,14.9,.521,.532,.258,9.3,20.4,14.7,20.2,1.0,3.7,10.4,17.6,0.2,0.2,0.3,.090,-0.7,0.2,-0.6,0.1
354,291,Terance Mann,SG,27,LAC,45,1119,10.0,.560,.454,.179,5.6,8.6,7.1,8.9,1.1,0.9,8.2,12.8,1.2,0.9,2.0,.087,-1.8,-0.5,-2.4,-0.1
355,292,Tre Mann,PG,22,TOT,14,146,14.2,.564,.471,.020,3.9,17.1,10.7,27.1,1.7,0.0,17.6,18.6,0.1,0.2,0.2,.081,-0.3,-0.2,-0.5,0.1
356,292,Tre Mann,PG,22,OKC,13,119,14.1,.606,.475,.025,3.9,18.1,11.3,22.3,1.2,0.0,18.2,18.0,0.1,0.1,0.2,.098,0.3,-0.3,0.0,0.1
357,292,Tre Mann,PG,22,CHO,1,27,14.5,.409,.455,.000,3.9,13.1,8.3,47.8,3.6,0.0,15.4,20.9,0.0,0.0,0.0,.010,-3.0,0.3,-2.7,0.0
358,293,Boban Marjanović,C,35,HOU,9,48,16.2,.486,.095,.286,13.6,35.8,24.8,12.8,0.0,1.9,7.8,22.9,0.0,0.1,0.1,.087,-1.9,-1.6,-3.5,0.0
359,294,Lauri Markkanen,PF,26,UTA,43,1406,22.7,.652,.501,.313,7.9,20.5,14.3,9.3,1.3,1.3,6.7,24.8,4.6,1.1,5.6,.193,5.8,-1.1,4.7,2.4
360,295,Naji Marshall,SF,26,NOP,42,778,13.0,.570,.388,.321,5.9,14.8,10.4,14.3,1.8,0.9,14.1,17.6,0.6,0.9,1.6,.097,-1.4,0.0,-1.4,0.1
361,296,Caleb Martin,SF,28,MIA,36,959,11.6,.547,.363,.182,5.3,14.8,10.0,11.8,1.4,1.0,10.8,17.5,0.3,1.1,1.4,.071,-1.9,-0.1,-2.0,0.0
362,297,Cody Martin,SF,28,CHO,20,520,8.5,.454,.400,.181,2.9,13.0,7.7,18.1,2.0,1.9,15.6,16.6,-0.6,0.3,-0.3,-0.030,-4.6,-0.3,-4.9,-0.4
363,298,KJ Martin,SF,23,TOT,38,392,8.2,.545,.188,.292,3.1,11.3,7.2,8.1,1.9,0.9,13.6,13.6,0.0,0.4,0.4,.043,-5.5,-0.2,-5.7,-0.4
364,298,KJ Martin,SF,23,LAC,2,31,6.8,.460,.500,.200,3.8,7.0,5.5,4.2,3.2,2.9,15.5,18.1,-0.1,0.0,0.0,-0.027,-7.0,0.7,-6.3,0.0
365,298,KJ Martin,SF,23,PHI,36,361,8.3,.554,.151,.302,3.0,11.7,7.3,8.5,1.7,0.7,13.3,13.2,0.0,0.3,0.4,.049,-5.4,-0.3,-5.6,-0.3
366,299,Garrison Mathews,SG,27,ATL,37,470,7.5,.682,.917,.156,2.0,8.8,5.3,4.7,0.9,0.7,12.8,10.3,0.5,0.1,0.5,.053,-2.6,-1.0,-3.6,-0.2
367,300,Bennedict Mathurin,SF,21,IND,51,1310,12.8,.565,.308,.335,4.5,12.8,8.6,9.5,1.0,0.7,11.6,23.3,0.6,0.4,1.0,.035,-1.3,-2.5,-3.8,-0.6
369,301,Wesley Matthews,SG,37,ATL,21,232,5.5,.451,.783,.413,1.8,11.6,6.5,6.6,2.0,1.5,9.9,10.7,-0.1,0.1,0.0,.010,-5.3,0.2,-5.1,-0.2
370,302,Tyrese Maxey,PG,23,PHI,47,1743,19.9,.576,.410,.286,1.6,9.2,5.3,26.7,1.3,1.3,6.7,27.4,4.2,1.4,5.5,.152,4.2,-1.2,3.0,2.2
371,303,Skylar Mays,PG-SG,26,TOT,28,410,11.8,.461,.351,.110,2.6,9.0,5.6,30.2,2.0,0.9,10.5,18.8,0.0,0.3,0.3,.037,-2.1,-0.3,-2.4,0.0
